Undergraduate Major,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 90th Percentile Salary,Group
Accounting,46000.00,77100.00,42200.00,152000.00,Business
Aerospace Engineering,57700.00,101000.00,64300.00,161000.00,STEM
Agriculture,42600.00,71900.00,36300.00,150000.00,Business
Anthropology,36800.00,61500.00,33800.00,138000.00,HASS
Architecture,41600.00,76800.00,50600.00,136000.00,Business
Art History,35800.00,64900.00,28800.00,125000.00,HASS
Biology,38800.00,64800.00,36900.00,135000.00,STEM
Business Management,43000.00,72100.00,38800.00,147000.00,Business
Chemical Engineering,63200.00,107000.00,71900.00,194000.00,STEM
Chemistry,42600.00,79900.00,45300.00,148000.00,STEM
Civil Engineering,53900.00,90500.00,63400.00,148000.00,STEM
Communications,38100.00,70000.00,37500.00,143000.00,HASS
Computer Engineering,61400.00,105000.00,66100.00,162000.00,STEM
Computer Science,55900.00,95500.00,56000.00,154000.00,STEM
Construction,53700.00,88900.00,56300.00,171000.00,Business
Criminal Justice,35000.00,56300.00,32200.00,107000.00,HASS
Drama,35900.00,56900.00,36700.00,153000.00,HASS
Economics,50100.00,98600.00,50600.00,210000.00,Business
Education,34900.00,52000.00,29300.00,102000.00,HASS
Electrical Engineering,60900.00,103000.00,69300.00,168000.00,STEM
English,38000.00,64700.00,33400.00,133000.00,HASS
Film,37900.00,68500.00,33900.00,136000.00,HASS
Finance,47900.00,88300.00,47200.00,195000.00,Business
Forestry,39100.00,62600.00,41000.00,111000.00,Business
Geography,41200.00,65500.00,40000.00,132000.00,HASS
Geology,43500.00,79500.00,45000.00,156000.00,STEM
Graphic Design,35700.00,59800.00,36000.00,112000.00,HASS
Health Care Administration,38800.00,60600.00,34600.00,101000.00,Business
History,39200.00,71000.00,37000.00,149000.00,HASS
Hospitality & Tourism,37800.00,57500.00,35500.00,124000.00,Business
Industrial Engineering,57700.00,94700.00,57100.00,173000.00,STEM
Information Technology (IT),49100.00,74800.00,44500.00,129000.00,STEM
Interior Design,36100.00,53200.00,35700.00,107000.00,HASS
International Relations,40900.00,80900.00,38200.00,157000.00,HASS
Journalism,35600.00,66700.00,38400.00,145000.00,HASS
Management Information Systems (MIS),49200.00,82300.00,45300.00,146000.00,STEM
Marketing,40800.00,79600.00,42100.00,175000.00,Business
Math,45400.00,92400.00,45200.00,183000.00,STEM
Mechanical Engineering,57900.00,93600.00,63700.00,163000.00,STEM
Music,35900.00,55000.00,26700.00,134000.00,HASS
Nursing,54200.00,67000.00,47600.00,98300.00,Business
Nutrition,39900.00,55300.00,33900.00,99200.00,HASS
Philosophy,39900.00,81200.00,35500.00,168000.00,HASS
Physician Assistant,74300.00,91700.00,66400.00,124000.00,STEM
Physics,50300.00,97300.00,56000.00,178000.00,STEM
Political Science,40800.00,78200.00,41200.00,168000.00,HASS
Psychology,35900.00,60400.00,31600.00,127000.00,HASS
Religion,34100.00,52000.00,29700.00,96400.00,HASS
Sociology,36500.00,58200.00,30700.00,118000.00,HASS
Spanish,34000.00,53100.00,31000.00,96400.00,HASS
Source: PayScale Inc.,,,,,