MONTH,TSLA_WEB_SEARCH,TSLA_USD_CLOSE
2010-06-01,3,4.766000
2010-07-01,3,3.988000
2010-08-01,2,3.896000
2010-09-01,2,4.082000
2010-10-01,2,4.368000
2010-11-01,2,7.066000
2010-12-01,2,5.326000
2011-01-01,3,4.820000
2011-02-01,2,4.778000
2011-03-01,3,5.550000
2011-04-01,3,5.520000
2011-05-01,2,6.028000
2011-06-01,2,5.826000
2011-07-01,2,5.634000
2011-08-01,2,4.948000
2011-09-01,2,4.878000
2011-10-01,3,5.874000
2011-11-01,2,6.548000
2011-12-01,2,5.712000
2012-01-01,2,5.814000
2012-02-01,3,6.682000
2012-03-01,3,7.448000
2012-04-01,3,6.626000
2012-05-01,3,5.900000
2012-06-01,3,6.258000
2012-07-01,3,5.484000
2012-08-01,3,5.704000
2012-09-01,3,5.856000
2012-10-01,3,5.626000
2012-11-01,4,6.764000
2012-12-01,3,6.774000
2013-01-01,3,7.502000
2013-02-01,4,6.966000
2013-03-01,4,7.578000
2013-04-01,4,10.798000
2013-05-01,6,19.552000
2013-06-01,5,21.472000
2013-07-01,5,26.856001
2013-08-01,7,33.799999
2013-09-01,6,38.674000
2013-10-01,6,31.988001
2013-11-01,6,25.455999
2013-12-01,5,30.086000
2014-01-01,5,36.282001
2014-02-01,6,48.962002
2014-03-01,6,41.689999
2014-04-01,6,41.577999
2014-05-01,6,41.554001
2014-06-01,6,48.012001
2014-07-01,7,44.660000
2014-08-01,6,53.939999
2014-09-01,6,48.535999
2014-10-01,8,48.340000
2014-11-01,6,48.903999
2014-12-01,6,44.481998
2015-01-01,7,40.720001
2015-02-01,7,40.667999
2015-03-01,7,37.754002
2015-04-01,7,45.209999
2015-05-01,10,50.160000
2015-06-01,7,53.652000
2015-07-01,8,53.230000
2015-08-01,8,49.812000
2015-09-01,9,49.680000
2015-10-01,9,41.386002
2015-11-01,8,46.051998
2015-12-01,7,48.001999
2016-01-01,7,38.240002
2016-02-01,8,38.386002
2016-03-01,9,45.953999
2016-04-01,18,48.152000
2016-05-01,9,44.646000
2016-06-01,8,42.456001
2016-07-01,9,46.958000
2016-08-01,8,42.402000
2016-09-01,8,40.806000
2016-10-01,10,39.546001
2016-11-01,9,37.880001
2016-12-01,9,42.737999
2017-01-01,9,50.386002
2017-02-01,9,49.998001
2017-03-01,9,55.660000
2017-04-01,11,62.813999
2017-05-01,10,68.202003
2017-06-01,10,72.321999
2017-07-01,15,64.694000
2017-08-01,12,71.180000
2017-09-01,11,68.220001
2017-10-01,11,66.306000
2017-11-01,16,61.770000
2017-12-01,12,62.270000
2018-01-01,12,70.862000
2018-02-01,15,68.612000
2018-03-01,11,53.226002
2018-04-01,12,58.779999
2018-05-01,12,56.945999
2018-06-01,11,68.589996
2018-07-01,12,59.627998
2018-08-01,14,60.332001
2018-09-01,14,52.953999
2018-10-01,14,67.463997
2018-11-01,11,70.096001
2018-12-01,12,66.559998
2019-01-01,12,61.403999
2019-02-01,12,63.976002
2019-03-01,17,55.972000
2019-04-01,15,47.737999
2019-05-01,15,37.032001
2019-06-01,15,44.692001
2019-07-01,14,48.321999
2019-08-01,14,45.122002
2019-09-01,14,48.174000
2019-10-01,15,62.984001
2019-11-01,30,65.987999
2019-12-01,19,83.666000
2020-01-01,20,130.113998
2020-02-01,23,133.598007
2020-03-01,17,104.800003
2020-04-01,13,156.376007
2020-05-01,16,167.000000
2020-06-01,17,215.962006
2020-07-01,24,286.152008
2020-08-01,23,498.320007
2020-09-01,31,407.339996